"date","state","fips","positive","negative","pending","total","totalTestResults","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
20200228,"CA","06075",0,2,0,2,2,2,0,2
20200301,"CA","06075",0,4,0,4,4,2,0,2
20200302,"CA","06075",0,6,0,6,6,2,0,2
20200303,"CA","06075",2,11,0,13,13,5,2,7
20200304,"CA","06075",2,22,0,24,24,11,0,11
20200305,"CA","06075",8,35,0,43,43,13,6,19
20200306,"CA","06075",9,55,0,64,64,20,1,21
20200307,"CA","06075",16,66,0,82,82,11,7,18
20200308,"CA","06075",19,72,0,91,91,6,3,9
20200309,"CA","06075",23,117,0,140,140,45,4,49
20200310,"CA","06075",30,179,0,209,209,62,7,69
20200311,"CA","06075",42,246,0,290,290,67,12,81
20200312,"CA","06075",51,389,0,442,442,143,9,152
20200313,"CA","06075",69,558,0,629,629,169,18,187
20200314,"CA","06075",79,621,0,702,702,63,10,73
20200315,"CA","06075",90,702,0,795,795,81,11,93
20200316,"CA","06075",131,895,0,1031,1031,193,41,236
20200317,"CA","06075",160,1113,0,1278,1278,218,29,247
20200318,"CA","06075",186,1336,0,1529,1529,223,26,251
20200319,"CA","06075",208,1531,0,1746,1746,195,22,217
20200320,"CA","06075",246,1727,0,1982,1982,196,38,236
20200321,"CA","06075",263,1838,0,2110,2110,111,17,128
20200322,"CA","06075",290,1931,0,2230,2230,93,27,120
20200323,"CA","06075",327,2177,0,2513,2513,246,37,283
20200324,"CA","06075",376,2404,0,2789,2789,227,49,276
20200325,"CA","06075",424,2661,0,3095,3095,257,48,306
20200326,"CA","06075",469,2960,0,3439,3439,299,45,344
20200327,"CA","06075",504,3316,0,3831,3831,356,35,392
20200328,"CA","06075",527,3525,0,4063,4063,209,23,232
20200329,"CA","06075",543,3625,0,4182,4182,100,16,119
20200330,"CA","06075",590,3877,0,4482,4482,252,47,300
20200331,"CA","06075",650,4123,0,4788,4788,246,60,306
20200401,"CA","06075",695,4384,0,5095,5095,261,45,307
20200402,"CA","06075",739,4663,0,5420,5420,279,44,325
20200403,"CA","06075",769,4945,0,5732,5732,282,30,312
20200404,"CA","06075",789,5087,0,5894,5894,142,20,162
20200405,"CA","06075",826,5265,0,6109,6109,178,37,215
20200406,"CA","06075",889,5600,0,6508,6508,335,63,399
20200407,"CA","06075",955,6014,0,6988,6988,414,66,480
20200408,"CA","06075",1020,6411,0,7450,7450,397,65,462
20200409,"CA","06075",1106,6910,0,8036,8036,499,86,586
20200410,"CA","06075",1151,7415,0,8586,8586,505,45,550
20200411,"CA","06075",1206,7666,0,8892,8892,251,55,306
20200412,"CA","06075",1237,7827,0,9084,9084,161,31,192
20200413,"CA","06075",1280,8246,0,9547,9547,419,43,463
20200414,"CA","06075",1342,8735,0,10098,10098,489,62,551
20200415,"CA","06075",1412,9177,0,10610,10610,442,70,512
20200416,"CA","06075",1479,9667,0,11167,11167,490,67,557
20200417,"CA","06075",1540,10188,0,11750,11750,521,61,583
20200418,"CA","06075",1561,10441,0,12025,12025,253,21,275
20200419,"CA","06075",1606,10684,0,12313,12313,243,45,288
20200420,"CA","06075",1669,11282,0,12974,12974,598,63,661
20200421,"CA","06075",1723,11858,0,13604,13604,576,54,630
20200422,"CA","06075",1773,12726,0,14523,14523,868,50,919
20200423,"CA","06075",1835,13820,0,15682,15682,1094,62,1159
20200424,"CA","06075",1905,15077,0,17011,17011,1257,70,1329
20200425,"CA","06075",1958,16874,0,18866,18866,1797,53,1855
20200426,"CA","06075",1996,18267,0,20300,20300,1393,38,1434
20200427,"CA","06075",2065,20121,0,22229,22229,1854,69,1929
20200428,"CA","06075",2157,22932,0,25144,25144,2811,92,2915
20200429,"CA","06075",2266,24213,0,26535,26535,1281,109,1391
20200430,"CA","06075",2320,25420,0,27797,27797,1207,54,1262
20200501,"CA","06075",2373,26824,0,29254,29254,1404,53,1457
20200502,"CA","06075",2429,27737,0,30223,30223,913,56,969
20200503,"CA","06075",2451,28156,0,30664,30664,419,22,441
20200504,"CA","06075",2518,29328,0,31904,31904,1172,67,1240
20200505,"CA","06075",2580,30591,0,33231,33231,1263,62,1327
20200506,"CA","06075",2631,32090,0,34783,34783,1499,51,1552
20200507,"CA","06075",2671,33779,0,36513,36513,1689,40,1730
20200508,"CA","06075",2711,35527,0,38307,38307,1748,40,1794
20200509,"CA","06075",2728,36363,0,39165,39165,836,17,858
20200510,"CA","06075",2740,36906,0,39726,39726,543,12,561
20200511,"CA","06075",2780,38434,0,41297,41297,1528,40,1571
20200512,"CA","06075",2842,40040,0,42968,42968,1606,62,1671
20200513,"CA","06075",2890,41517,0,44497,44497,1477,48,1529
20200514,"CA","06075",2933,43222,0,46247,46247,1705,43,1750
20200515,"CA","06075",2983,44827,0,47903,47903,1605,50,1656
20200516,"CA","06075",2994,45593,0,48681,48681,766,11,778
20200517,"CA","06075",3008,45986,0,49088,49088,393,14,407
20200518,"CA","06075",3068,47861,0,51024,51024,1875,60,1936
20200519,"CA","06075",3117,49455,0,52669,52669,1594,49,1645
20200520,"CA","06075",3166,51277,0,54542,54542,1822,49,1873
20200521,"CA","06075",3201,53547,0,56870,56870,2270,35,2328
20200522,"CA","06075",3244,55814,0,59184,59184,2267,43,2314
20200523,"CA","06075",3265,57033,0,60427,60427,1219,21,1243
20200524,"CA","06075",3276,57802,0,61209,61209,769,11,782
20200525,"CA","06075",3289,58422,0,61842,61842,620,13,633
20200526,"CA","06075",3347,60473,0,63953,63953,2051,58,2111
20200527,"CA","06075",3392,62549,0,66075,66075,2076,45,2122
20200528,"CA","06075",3423,64739,0,68299,68299,2190,31,2224
20200529,"CA","06075",3466,67155,0,70775,70775,2416,43,2476
20200530,"CA","06075",3495,68685,0,72340,72340,1530,29,1565
20200531,"CA","06075",3526,70035,0,73728,73728,1350,31,1388
20200601,"CA","06075",3569,72448,0,76186,76186,2413,43,2458
20200602,"CA","06075",3626,75077,0,78880,78880,2629,57,2694
20200603,"CA","06075",3664,77225,0,81090,81090,2148,38,2210
20200604,"CA","06075",3711,79604,0,83530,83530,2379,47,2440
20200605,"CA","06075",3746,82013,0,86016,86016,2409,35,2486
20200606,"CA","06075",3767,83804,0,87833,87833,1791,21,1817
20200607,"CA","06075",3790,85626,0,89700,89700,1822,23,1867
20200608,"CA","06075",3830,88731,0,92920,92920,3105,40,3220
20200609,"CA","06075",3873,92114,0,96402,96402,3383,43,3482
20200610,"CA","06075",3891,95030,0,99337,99337,2916,18,2935
20200611,"CA","06075",3921,98373,0,102717,102717,3343,30,3380
20200612,"CA","06075",3958,101494,0,105935,105935,3121,37,3218
20200613,"CA","06075",3981,103302,0,107766,107766,1808,23,1831
20200614,"CA","06075",3998,104770,0,109252,109252,1468,17,1486
20200615,"CA","06075",4037,108096,0,112618,112618,3326,39,3366
20200616,"CA","06075",4092,110995,0,115576,115576,2899,55,2958
20200617,"CA","06075",4158,114488,0,119136,119136,3493,66,3560
20200618,"CA","06075",4208,118294,0,122995,122995,3806,50,3859
20200619,"CA","06075",4262,121622,0,126381,126381,3328,54,3386
20200620,"CA","06075",4316,123169,0,127983,127983,1547,54,1602
20200621,"CA","06075",4354,124394,0,129246,129246,1225,38,1263
20200622,"CA","06075",4469,127688,0,132659,132659,3294,115,3413
20200623,"CA","06075",4554,131109,0,136246,136246,3421,85,3587
20200624,"CA","06075",4626,134896,0,140106,140106,3787,72,3860
20200625,"CA","06075",4708,138756,0,144049,144049,3860,82,3943
20200626,"CA","06075",4786,142554,0,147927,147927,3798,78,3878
20200627,"CA","06075",4844,144405,0,149837,149837,1851,58,1910
20200628,"CA","06075",4883,145994,0,151466,151466,1589,39,1629
20200629,"CA","06075",4967,149620,0,155188,155188,3626,84,3722
20200630,"CA","06075",5069,153244,0,158917,158917,3624,102,3729
20200701,"CA","06075",5162,156308,0,162075,162075,3064,93,3158
20200702,"CA","06075",5274,159507,0,165388,165388,3199,112,3313
20200703,"CA","06075",5341,161490,0,167443,167443,1983,67,2055
20200704,"CA","06075",5369,162065,0,168047,168047,575,28,604
20200705,"CA","06075",5425,163618,0,169656,169656,1553,56,1609
20200706,"CA","06075",5497,165854,0,171964,171964,2236,72,2308
20200416,"CA","06085",39,612,2,653,651,612,39,651
20200417,"CA","06085",60,1209,0,1271,1269,597,21,618
20200418,"CA","06085",94,1713,0,1809,1807,504,34,538
20200419,"CA","06085",113,2008,0,2123,2121,295,19,314
20200420,"CA","06085",131,2397,0,2530,2528,389,18,407
20200421,"CA","06085",157,3116,0,3275,3273,719,26,745
20200422,"CA","06085",181,3984,0,4167,4165,868,24,892
20200423,"CA","06085",205,4983,0,5190,5188,999,24,1023
20200424,"CA","06085",245,5995,0,6242,6240,1012,40,1052
20200425,"CA","06085",268,6999,1,7270,7267,1004,23,1027
20200426,"CA","06085",280,7872,0,8155,8152,873,12,885
20200427,"CA","06085",297,8734,1,9035,9031,862,17,879
20200428,"CA","06085",321,9723,3,10051,10044,989,24,1013
20200429,"CA","06085",341,10970,0,11318,11311,1247,20,1267
20200430,"CA","06085",359,12350,1,12717,12709,1380,18,1398
20200501,"CA","06085",384,13836,1,14229,14220,1486,25,1511
20200502,"CA","06085",406,14899,3,15317,15305,1063,22,1085
20200503,"CA","06085",420,15963,1,16396,16383,1064,14,1078
20200504,"CA","06085",435,17162,1,17611,17597,1199,15,1214
20200505,"CA","06085",446,18390,1,18851,18836,1228,11,1239
20200506,"CA","06085",457,19973,5,20450,20430,1583,11,1594
20200507,"CA","06085",484,21359,5,21868,21843,1386,27,1413
20200508,"CA","06085",500,22602,3,23130,23102,1243,16,1259
20200509,"CA","06085",521,24002,6,24557,24523,1400,21,1421
20200510,"CA","06085",531,25013,2,25580,25544,1011,10,1021
20200511,"CA","06085",537,25786,0,26359,26323,773,6,779
20200512,"CA","06085",548,27090,0,27674,27638,1304,11,1315
20200513,"CA","06085",564,28573,1,29174,29137,1483,16,1499
20200514,"CA","06085",584,30489,30,31140,31073,1916,20,1936
20200515,"CA","06085",605,32320,73,33065,32925,1831,21,1852
20200516,"CA","06085",629,33606,12,34387,34235,1286,24,1310
20200517,"CA","06085",643,34150,1,34946,34793,544,14,558
20200518,"CA","06085",664,35111,1,35929,35775,961,21,982
20200519,"CA","06085",675,36431,1,37261,37106,1320,11,1331
20200520,"CA","06085",695,38126,2,38978,38821,1695,20,1715
20200521,"CA","06085",738,40334,1,41230,41072,2208,43,2251
20200522,"CA","06085",776,42448,16,43398,43224,2114,38,2152
20200523,"CA","06085",803,44145,1,45123,44948,1697,27,1724
20200524,"CA","06085",818,46278,5,47276,47096,2133,15,2148
20200525,"CA","06085",834,47953,2,48969,48787,1675,16,1691
20200526,"CA","06085",849,49261,2,50294,50110,1308,15,1323
20200527,"CA","06085",867,50744,0,51795,51611,1483,18,1501
20200528,"CA","06085",887,53348,0,54419,54235,2604,20,2624
20200529,"CA","06085",926,56149,1,57260,57075,2801,39,2840
20200530,"CA","06085",958,58357,1,59501,59315,2208,32,2240
20200531,"CA","06085",976,60362,0,61524,61338,2005,18,2023
20200601,"CA","06085",991,62197,0,63374,63188,1835,15,1850
20200602,"CA","06085",1017,63936,0,65139,64953,1739,26,1765
20200603,"CA","06085",1048,66071,0,67305,67119,2135,31,2166
20200604,"CA","06085",1076,68000,0,69262,69076,1929,28,1957
20200605,"CA","06085",1105,70252,0,71543,71357,2252,29,2281
20200606,"CA","06085",1140,72146,0,73472,73286,1894,35,1929
20200607,"CA","06085",1177,74348,0,75711,75525,2202,37,2239
20200608,"CA","06085",1205,75826,0,77217,77031,1478,28,1506
20200609,"CA","06085",1241,78139,0,79566,79380,2313,36,2349
20200610,"CA","06085",1287,80496,0,81969,81783,2357,46,2403
20200611,"CA","06085",1331,83103,0,84620,84434,2607,44,2651
20200612,"CA","06085",1375,86314,0,87875,87689,3211,44,3255
20200613,"CA","06085",1400,89316,0,90902,90716,3002,25,3027
20200614,"CA","06085",1438,92021,0,93645,93459,2705,38,2743
20200615,"CA","06085",1469,93533,0,95188,95002,1512,31,1543
20200616,"CA","06085",1517,96149,0,97852,97666,2616,48,2664
20200617,"CA","06085",1600,99650,0,101436,101250,3501,83,3584
20200618,"CA","06085",1711,105662,0,107559,107373,6012,111,6123
20200619,"CA","06085",1824,110949,0,112959,112773,5287,113,5400
20200620,"CA","06085",1879,113289,0,115354,115168,2340,55,2395
20200621,"CA","06085",1920,114284,0,116390,116204,995,41,1036
20200622,"CA","06085",2035,118606,0,120827,120641,4322,115,4437
20200623,"CA","06085",2225,125255,0,127666,127480,6649,190,6839
20200624,"CA","06085",2387,133591,0,136164,135978,8336,162,8498
20200625,"CA","06085",2530,142408,0,145124,144938,8817,143,8960
20200626,"CA","06085",2677,150621,0,153484,153298,8213,147,8360
20200627,"CA","06085",2798,154034,0,157018,156832,3413,121,3534
20200628,"CA","06085",2869,155584,0,158639,158453,1550,71,1621
20200629,"CA","06085",2995,161001,0,164182,163996,5417,126,5543
20200630,"CA","06085",3204,168762,0,172152,171966,7761,209,7970
20200701,"CA","06085",3364,175198,0,178748,178562,6436,160,6596
20200702,"CA","06085",3544,181520,0,185250,185064,6322,180,6502
20200703,"CA","06085",3616,183754,0,187556,187370,2234,72,2306
20200704,"CA","06085",3659,184722,0,188567,188381,968,43,1011
20200705,"CA","06085",3745,186227,0,190158,189972,1505,86,1591
20200706,"CA","06085",3845,188926,0,192957,192771,2699,100,2799
20200707,"CA","06085",3867,190949,0,195002,194816,2023,22,2045
20200708,"CA","06085",3871,191033,0,195090,194904,84,4,88
20200421,"TX","48493","","","",195,195,"","",195
20200422,"TX","48493","","","",195,195,"","",0
20200423,"TX","48493","","","",209,209,"","",14
20200424,"TX","48493","","","",292,292,"","",83
20200425,"TX","48493","","","",249,249,"","",-43
20200426,"TX","48493","","","",255,255,"","",6
20200427,"TX","48493","","","",260,260,"","",5
20200428,"TX","48493","","","",263,263,"","",3
20200429,"TX","48493","","","",271,271,"","",8
20200430,"TX","48493","","","",274,274,"","",3
20200501,"TX","48493","","","",275,275,"","",1
20200502,"TX","48493","","","",277,277,"","",2
20200503,"TX","48493","","","",277,277,"","",0
20200504,"TX","48493","","","",280,280,"","",3
20200506,"TX","48493","","","",290,290,"","",10
20200507,"TX","48493","","","",303,303,"","",13
20200508,"TX","48493","","","",316,316,"","",13
20200509,"TX","48493","","","",327,327,"","",11
20200510,"TX","48493","","","",342,342,"","",15
20200511,"TX","48493","","","",358,358,"","",16
20200512,"TX","48493","","","",374,374,"","",16
20200513,"TX","48493","","","",394,394,"","",20
20200514,"TX","48493","","","",404,404,"","",10
20200515,"TX","48493","","","",408,408,"","",4
20200516,"TX","48493","","","",425,425,"","",17
20200517,"TX","48493","","","",433,433,"","",8
20200518,"TX","48493","","","",457,457,"","",24
20200519,"TX","48493","","","",462,462,"","",5
20200520,"TX","48493","","","",462,462,"","",0
20200521,"TX","48493","","","",484,484,"","",22
20200522,"TX","48493","","","",533,533,"","",49
20200524,"TX","48493","","","",541,541,"","",8
20200525,"TX","48493","","","",553,553,"","",12
20200526,"TX","48493","","","",564,564,"","",11
20200527,"TX","48493","","","",570,570,"","",6
20200528,"TX","48493","","","",577,577,"","",7
20200529,"TX","48493","","","",610,610,"","",33
20200530,"TX","48493","","","",621,621,"","",11
20200531,"TX","48493","","","",623,623,"","",2
20200601,"TX","48493","","","",654,654,"","",31
20200602,"TX","48493","","","",688,688,"","",34
20200603,"TX","48493","","","",701,701,"","",13
20200604,"TX","48493","","","",724,724,"","",23
20200605,"TX","48493","","","",727,727,"","",3
20200606,"TX","48493","","","",754,754,"","",27
20200607,"TX","48493","","","",794,794,"","",40
20200608,"TX","48493","","","",799,799,"","",5
20200609,"TX","48493","","","",838,838,"","",39
20200611,"TX","48493","","","",855,855,"","",17
20200612,"TX","48493","","","",855,855,"","",0
20200613,"TX","48493","","","",874,874,"","",19
20200614,"TX","48493","","","",901,901,"","",27
20200615,"TX","48493","","","",914,914,"","",13
20200616,"TX","48493","","","",917,917,"","",3
20200617,"TX","48493","","","",1103,1103,"","",186
20200618,"TX","48493","","","",1131,1131,"","",28
20200619,"TX","48493","","","",1155,1155,"","",24
20200620,"TX","48493","","","",1167,1167,"","",12
20200621,"TX","48493","","","",1192,1192,"","",25
20200622,"TX","48493","","","",1213,1213,"","",21
20200623,"TX","48493","","","",1280,1280,"","",67
20200624,"TX","48493","","","",1325,1325,"","",45
20200625,"TX","48493","","","",1327,1327,"","",2
20200626,"TX","48493","","","",1343,1343,"","",16
20200627,"TX","48493","","","",1403,1403,"","",60
20200628,"TX","48493","","","",1427,1427,"","",24
20200629,"TX","48493","","","",1531,1531,"","",104
20200630,"TX","48493","","","",1581,1581,"","",50
20200701,"TX","48493","","","",1616,1616,"","",35
20200702,"TX","48493","","","",1648,1648,"","",32
20200703,"TX","48493","","","",1681,1681,"","",33
20200704,"TX","48493","","","",1730,1730,"","",49
20200705,"TX","48493","","","",1758,1758,"","",28
20200706,"TX","48493","","","",1788,1788,"","",30
20200707,"TX","48493","","","",1819,1819,"","",31
20200421,"TX","48123","","","",79,79,"","",79
20200422,"TX","48123","","","",85,85,"","",6
20200423,"TX","48123","","","",86,86,"","",1
20200424,"TX","48123","","","",107,107,"","",21
20200425,"TX","48123","","","",117,117,"","",10
20200426,"TX","48123","","","",117,117,"","",0
20200427,"TX","48123","","","",121,121,"","",4
20200428,"TX","48123","","","",125,125,"","",4
20200429,"TX","48123","","","",129,129,"","",4
20200430,"TX","48123","","","",134,134,"","",5
20200501,"TX","48123","","","",134,134,"","",0
20200502,"TX","48123","","","",136,136,"","",2
20200503,"TX","48123","","","",136,136,"","",0
20200504,"TX","48123","","","",140,140,"","",4
20200506,"TX","48123","","","",148,148,"","",8
20200507,"TX","48123","","","",158,158,"","",10
20200508,"TX","48123","","","",167,167,"","",9
20200509,"TX","48123","","","",191,191,"","",24
20200510,"TX","48123","","","",205,205,"","",14
20200511,"TX","48123","","","",207,207,"","",2
20200512,"TX","48123","","","",212,212,"","",5
20200513,"TX","48123","","","",215,215,"","",3
20200514,"TX","48123","","","",220,220,"","",5
20200515,"TX","48123","","","",222,222,"","",2
20200516,"TX","48123","","","",224,224,"","",2
20200517,"TX","48123","","","",224,224,"","",0
20200518,"TX","48123","","","",233,233,"","",9
20200519,"TX","48123","","","",247,247,"","",14
20200520,"TX","48123","","","",248,248,"","",1
20200521,"TX","48123","","","",253,253,"","",5
20200522,"TX","48123","","","",256,256,"","",3
20200524,"TX","48123","","","",265,265,"","",9
20200525,"TX","48123","","","",270,270,"","",5
20200526,"TX","48123","","","",276,276,"","",6
20200527,"TX","48123","","","",277,277,"","",1
20200528,"TX","48123","","","",280,280,"","",3
20200529,"TX","48123","","","",283,283,"","",3
20200530,"TX","48123","","","",288,288,"","",5
20200531,"TX","48123","","","",288,288,"","",0
20200601,"TX","48123","","","",288,288,"","",0
20200602,"TX","48123","","","",297,297,"","",9
20200603,"TX","48123","","","",305,305,"","",8
20200604,"TX","48123","","","",335,335,"","",30
20200605,"TX","48123","","","",335,335,"","",0
20200606,"TX","48123","","","",356,356,"","",21
20200607,"TX","48123","","","",375,375,"","",19
20200608,"TX","48123","","","",369,369,"","",-6
20200609,"TX","48123","","","",396,396,"","",27
20200611,"TX","48123","","","",403,403,"","",7
20200612,"TX","48123","","","",402,402,"","",-1
20200613,"TX","48123","","","",402,402,"","",0
20200614,"TX","48123","","","",403,403,"","",1
20200615,"TX","48123","","","",403,403,"","",0
20200616,"TX","48123","","","",405,405,"","",2
20200617,"TX","48123","","","",491,491,"","",86
20200618,"TX","48123","","","",499,499,"","",8
20200619,"TX","48123","","","",503,503,"","",4
20200620,"TX","48123","","","",509,509,"","",6
20200621,"TX","48123","","","",516,516,"","",7
20200622,"TX","48123","","","",520,520,"","",4
20200623,"TX","48123","","","",534,534,"","",14
20200624,"TX","48123","","","",546,546,"","",12
20200625,"TX","48123","","","",549,549,"","",3
20200626,"TX","48123","","","",555,555,"","",6
20200627,"TX","48123","","","",560,560,"","",5
20200628,"TX","48123","","","",569,569,"","",9
20200629,"TX","48123","","","",580,580,"","",11
20200630,"TX","48123","","","",596,596,"","",16
20200701,"TX","48123","","","",616,616,"","",20
20200702,"TX","48123","","","",625,625,"","",9
20200703,"TX","48123","","","",636,636,"","",11
20200704,"TX","48123","","","",646,646,"","",10
20200705,"TX","48123","","","",653,653,"","",7
20200706,"TX","48123","","","",719,719,"","",66
20200707,"TX","48123","","","",767,767,"","",48
20200421,"TX","48505","","","",18,18,"","",18
20200422,"TX","48505","","","",18,18,"","",0
20200423,"TX","48505","","","",21,21,"","",3
20200424,"TX","48505","","","",23,23,"","",2
20200425,"TX","48505","","","",24,24,"","",1
20200426,"TX","48505","","","",24,24,"","",0
20200427,"TX","48505","","","",27,27,"","",3
20200428,"TX","48505","","","",28,28,"","",1
20200429,"TX","48505","","","",28,28,"","",0
20200430,"TX","48505","","","",29,29,"","",1
20200501,"TX","48505","","","",29,29,"","",0
20200502,"TX","48505","","","",29,29,"","",0
20200503,"TX","48505","","","",29,29,"","",0
20200504,"TX","48505","","","",31,31,"","",2
20200506,"TX","48505","","","",34,34,"","",3
20200507,"TX","48505","","","",35,35,"","",1
20200508,"TX","48505","","","",36,36,"","",1
20200509,"TX","48505","","","",76,76,"","",40
20200510,"TX","48505","","","",80,80,"","",4
20200511,"TX","48505","","","",81,81,"","",1
20200512,"TX","48505","","","",81,81,"","",0
20200513,"TX","48505","","","",82,82,"","",1
20200514,"TX","48505","","","",84,84,"","",2
20200515,"TX","48505","","","",85,85,"","",1
20200516,"TX","48505","","","",87,87,"","",2
20200517,"TX","48505","","","",87,87,"","",0
20200518,"TX","48505","","","",87,87,"","",0
20200519,"TX","48505","","","",94,94,"","",7
20200520,"TX","48505","","","",95,95,"","",1
20200521,"TX","48505","","","",95,95,"","",0
20200522,"TX","48505","","","",95,95,"","",0
20200524,"TX","48505","","","",101,101,"","",6
20200525,"TX","48505","","","",105,105,"","",4
20200526,"TX","48505","","","",106,106,"","",1
20200527,"TX","48505","","","",106,106,"","",0
20200528,"TX","48505","","","",106,106,"","",0
20200529,"TX","48505","","","",106,106,"","",0
20200530,"TX","48505","","","",106,106,"","",0
20200531,"TX","48505","","","",106,106,"","",0
20200601,"TX","48505","","","",110,110,"","",4
20200602,"TX","48505","","","",111,111,"","",1
20200603,"TX","48505","","","",113,113,"","",2
20200604,"TX","48505","","","",207,207,"","",94
20200605,"TX","48505","","","",206,206,"","",-1
20200606,"TX","48505","","","",211,211,"","",5
20200607,"TX","48505","","","",212,212,"","",1
20200608,"TX","48505","","","",212,212,"","",0
20200609,"TX","48505","","","",215,215,"","",3
20200611,"TX","48505","","","",216,216,"","",1
20200612,"TX","48505","","","",215,215,"","",-1
20200613,"TX","48505","","","",242,242,"","",27
20200614,"TX","48505","","","",248,248,"","",6
20200615,"TX","48505","","","",250,250,"","",2
20200616,"TX","48505","","","",421,421,"","",171
20200617,"TX","48505","","","",424,424,"","",3
20200618,"TX","48505","","","",433,433,"","",9
20200619,"TX","48505","","","",437,437,"","",4
20200620,"TX","48505","","","",438,438,"","",1
20200621,"TX","48505","","","",440,440,"","",2
20200622,"TX","48505","","","",523,523,"","",83
20200623,"TX","48505","","","",594,594,"","",71
20200624,"TX","48505","","","",594,594,"","",0
20200625,"TX","48505","","","",594,594,"","",0
20200626,"TX","48505","","","",778,778,"","",184
20200627,"TX","48505","","","",781,781,"","",3
20200628,"TX","48505","","","",783,783,"","",2
20200629,"TX","48505","","","",786,786,"","",3
20200630,"TX","48505","","","",789,789,"","",3
20200701,"TX","48505","","","",796,796,"","",7
20200702,"TX","48505","","","",800,800,"","",4
20200703,"TX","48505","","","",808,808,"","",8
20200704,"TX","48505","","","",812,812,"","",4
20200705,"TX","48505","","","",819,819,"","",7
20200706,"TX","48505","","","",934,934,"","",115
20200707,"TX","48505","","","",944,944,"","",10
20200421,"TX","48419","","","",191,191,"","",191
20200422,"TX","48419","","","",202,202,"","",11
20200423,"TX","48419","","","",249,249,"","",47
20200424,"TX","48419","","","",296,296,"","",47
20200425,"TX","48419","","","",318,318,"","",22
20200426,"TX","48419","","","",319,319,"","",1
20200427,"TX","48419","","","",336,336,"","",17
20200428,"TX","48419","","","",338,338,"","",2
20200429,"TX","48419","","","",343,343,"","",5
20200430,"TX","48419","","","",351,351,"","",8
20200501,"TX","48419","","","",351,351,"","",0
20200502,"TX","48419","","","",365,365,"","",14
20200503,"TX","48419","","","",366,366,"","",1
20200504,"TX","48419","","","",393,393,"","",27
20200506,"TX","48419","","","",425,425,"","",32
20200507,"TX","48419","","","",449,449,"","",24
20200508,"TX","48419","","","",491,491,"","",42
20200509,"TX","48419","","","",527,527,"","",36
20200510,"TX","48419","","","",560,560,"","",33
20200511,"TX","48419","","","",565,565,"","",5
20200512,"TX","48419","","","",572,572,"","",7
20200513,"TX","48419","","","",583,583,"","",11
20200514,"TX","48419","","","",602,602,"","",19
20200515,"TX","48419","","","",604,604,"","",2
20200516,"TX","48419","","","",632,632,"","",28
20200517,"TX","48419","","","",638,638,"","",6
20200518,"TX","48419","","","",674,674,"","",36
20200519,"TX","48419","","","",692,692,"","",18
20200520,"TX","48419","","","",707,707,"","",15
20200521,"TX","48419","","","",722,722,"","",15
20200522,"TX","48419","","","",726,726,"","",4
20200524,"TX","48419","","","",759,759,"","",33
20200525,"TX","48419","","","",778,778,"","",19
20200526,"TX","48419","","","",810,810,"","",32
20200527,"TX","48419","","","",823,823,"","",13
20200528,"TX","48419","","","",845,845,"","",22
20200529,"TX","48419","","","",898,898,"","",53
20200530,"TX","48419","","","",951,951,"","",53
20200531,"TX","48419","","","",952,952,"","",1
20200601,"TX","48419","","","",993,993,"","",41
20200602,"TX","48419","","","",1181,1181,"","",188
20200603,"TX","48419","","","",1212,1212,"","",31
20200604,"TX","48419","","","",1227,1227,"","",15
20200605,"TX","48419","","","",1237,1237,"","",10
20200606,"TX","48419","","","",1252,1252,"","",15
20200607,"TX","48419","","","",1299,1299,"","",47
20200608,"TX","48419","","","",1320,1320,"","",21
20200609,"TX","48419","","","",1341,1341,"","",21
20200611,"TX","48419","","","",1355,1355,"","",14
20200612,"TX","48419","","","",1324,1324,"","",-31
20200613,"TX","48419","","","",1331,1331,"","",7
20200614,"TX","48419","","","",1338,1338,"","",7
20200615,"TX","48419","","","",1346,1346,"","",8
20200616,"TX","48419","","","",1389,1389,"","",43
20200617,"TX","48419","","","",1402,1402,"","",13
20200618,"TX","48419","","","",1434,1434,"","",32
20200619,"TX","48419","","","",1448,1448,"","",14
20200620,"TX","48419","","","",1468,1468,"","",20
20200621,"TX","48419","","","",1474,1474,"","",6
20200622,"TX","48419","","","",1477,1477,"","",3
20200623,"TX","48419","","","",1504,1504,"","",27
20200624,"TX","48419","","","",1513,1513,"","",9
20200625,"TX","48419","","","",1533,1533,"","",20
20200626,"TX","48419","","","",1543,1543,"","",10
20200627,"TX","48419","","","",1558,1558,"","",15
20200628,"TX","48419","","","",1582,1582,"","",24
20200629,"TX","48419","","","",1599,1599,"","",17
20200630,"TX","48419","","","",1613,1613,"","",14
20200701,"TX","48419","","","",1628,1628,"","",15
20200702,"TX","48419","","","",1635,1635,"","",7
20200703,"TX","48419","","","",1637,1637,"","",2
20200704,"TX","48419","","","",1651,1651,"","",14
20200705,"TX","48419","","","",1667,1667,"","",16
20200706,"TX","48419","","","",1683,1683,"","",16
20200707,"TX","48419","","","",1698,1698,"","",15
20200421,"TX","48043","","","",13,13,"","",13
20200422,"TX","48043","","","",13,13,"","",0
20200423,"TX","48043","","","",6,6,"","",-7
20200424,"TX","48043","","","",15,15,"","",9
20200425,"TX","48043","","","",17,17,"","",2
20200426,"TX","48043","","","",17,17,"","",0
20200427,"TX","48043","","","",17,17,"","",0
20200428,"TX","48043","","","",17,17,"","",0
